subject,sessionIndex,rep,Hold,Down-Down,Up-Down
Andy,4,9,0.125550747,0.173048258,0.047497511
Andy,4,10,0.102375746,0.119306564,0.016930819
Andy,5,1,0.132643938,0.215408802,0.082764864
Andy,5,2,0.121648788,0.198267937,0.076619148
Andy,5,3,0.125308514,0.180745363,0.05543685
Andy,5,4,0.118499279,0.203980446,0.085481167
Andy,5,5,0.123404026,0.170912981,0.047508955
Andy,5,6,0.121529102,0.151624441,0.030095339
Andy,5,7,0.080328941,0.170498133,0.090169191
Andy,5,8,0.08589983,0.174868345,0.088968515
Andy,5,9,0.125213623,0.145098925,0.019885302
Andy,5,10,0.128311157,0.193630219,0.065319061
Andy,6,1,0.133886576,0.264319181,0.130432606
Andy,6,2,0.089457273,0.416068792,0.326611519
Andy,6,3,0.106315613,0.158168793,0.05185318
Andy,6,4,0.105238676,0.173937321,0.068698645
Andy,6,5,0.084923029,0.193453789,0.10853076
Andy,6,6,0.13661027,0.184099674,0.047489405
Andy,6,7,0.096114635,0.15042758,0.054312944
Andy,6,8,0.059345961,0.170143127,0.110797167
Andy,6,9,0.095225811,0.158874273,0.063648462
Andy,6,10,0.089088678,0.192245483,0.103156805
Andy,7,1,0.108875275,0.207554102,0.098678827
Andy,7,2,0.114630938,0.16889143,0.054260492
Andy,7,3,0.097829342,0.631761312,0.533931971
Andy,7,4,0.102445602,0.215820789,0.113375187
Andy,7,5,0.095716238,0.175917625,0.080201387
Andy,7,6,0.102529049,0.159433126,0.056904078
Andy,7,7,0.131625414,0.183478594,0.05185318
Andy,7,8,0.098859787,0.177359819,0.078500032
Andy,7,9,0.105415821,0.411708117,0.306292295
Andy,7,10,0.134540081,0.202705145,0.068165064
Andy,8,1,0.08915782,0.161263466,0.072105646
Andy,8,2,0.109492779,0.216304064,0.106811285
Andy,8,3,0.095796824,0.194768429,0.098971605
Andy,8,4,0.092679501,0.180440903,0.087761402
Andy,8,5,0.125203371,0.253634453,0.128431082
Andy,8,6,0.092835188,0.187517881,0.094682693
Andy,8,7,0.135912657,0.152393103,0.016480446
Andy,8,8,0.085314751,1.471314192,1.385999441
Andy,8,9,0.089143753,0.195762157,0.106618404
Andy,8,10,0.088993073,0.210859537,0.121866465
Andy,9,1,0.132100821,0.270669937,0.138569117
Andy,9,2,0.119783163,1.659810305,1.540027142
Andy,9,3,0.119908333,0.212085962,0.092177629
Andy,9,4,0.074975491,0.240768909,0.165793419
Andy,9,5,0.096903801,0.150868893,0.053965092
Andy,9,6,0.100141764,0.181562662,0.081420898
Andy,9,7,0.11145401,0.190704107,0.079250097
Andy,9,8,0.134880543,0.368374825,0.233494282
Andy,9,9,0.095268965,0.178413868,0.083144903
Andy,9,10,0.105691671,0.413072586,0.307380915
Andy,10,1,0.12523818,0.253190756,0.127952576
Andy,10,2,0.094434738,0.17915225,0.084717512
Andy,10,3,0.095804453,0.201459408,0.105654955
Andy,10,4,0.114878654,0.242244959,0.127366304
Andy,10,5,0.104849815,-0.622174025,-0.72702384
Andy,10,6,0.131108046,-0.449281693,-0.580389738
Andy,10,7,0.140911579,-0.640070438,-0.780982018
Andy,10,8,0.174422503,-0.338024616,-0.512447119
Andy,10,9,0.097685814,0.453111172,0.355425358
Andy,10,10,0.083306551,-0.629570246,-0.712876797
Andy,1,1,0.137176991,0.641010761,0.503833771
Andy,1,2,0.156908989,0.346146584,0.189237595
Andy,1,3,0.140859604,0.274558783,0.133699179
Andy,1,4,0.145888805,0.287379742,0.141490936
Andy,1,5,0.165007114,0.286536932,0.121529818
Andy,1,6,0.155002117,0.376304865,0.221302748
Andy,1,7,0.147309065,0.283873558,0.136564493
Andy,1,8,-4.24274087,0.345526695,4.588267565
Andy,1,9,0.154066324,0.290868759,0.136802435
Andy,1,10,0.145735502,0.720422029,0.574686527
Andy,2,1,0.154130697,0.624973059,0.470842361
Andy,2,2,0.137904882,0.334524393,0.196619511
Andy,2,3,-3.311220646,0.22057128,3.531791925
Andy,2,4,0.121500254,0.632225752,0.510725498
Andy,2,5,-3.128596783,0.238128185,3.366724968
Andy,2,6,0.131017923,0.278281689,0.147263765
Andy,2,7,0.146241903,0.25808692,0.111845016
Andy,2,8,0.134559631,0.282562971,0.14800334
Andy,2,9,0.147385836,0.282617569,0.135231733
Andy,2,10,0.146466017,0.286582232,0.140116215
Andy,3,1,-2.650959015,0.21647954,2.867438555
Andy,3,2,0.139169693,0.264276028,0.125106335
Andy,3,3,0.154205322,0.350891113,0.196685791
Andy,3,4,-2.758696556,0.237365246,2.996061802
Andy,3,5,-5.536181211,0.231686831,5.767868042
Andy,3,6,-8.697739601,0.243728638,8.941468239
Andy,3,7,0.141998768,0.237863302,0.095864534
